movie_id,片名,年份,Region,语言,数据来源,来源URL,reason
36889087,废人,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36889087/,delivery_empty
36889244,腓德烈大街站的英雄,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36889244/,delivery_empty
36889847,僵军,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36889847/,delivery_empty
36893213,灵雀密语,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36893213/,delivery_empty
36893222,你杀死的东西,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36893222/,delivery_empty
36893589,法式恋人,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36893589/,delivery_empty
36893904,桑拿,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36893904/,delivery_empty
36897364,美国血汗工厂,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36897364/,delivery_empty
36897378,深潜双虎,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36897378/,delivery_empty
36897912,达洛维,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36897912/,delivery_empty
36898818,礼拜天,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36898818/,delivery_empty
36899331,危情蜻蜓,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36899331/,delivery_empty
36900800,马拉加街夕阳红,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36900800/,delivery_empty
36901052,不要唤醒沉睡的孩子,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36901052/,delivery_empty
36904780,真理与背叛,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36904780/,delivery_empty
36906941,星球,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36906941/,delivery_empty
36912672,某日离去,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36912672/,delivery_empty
36915261,埃鲁,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36915261/,delivery_empty
36919136,爱的证明,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36919136/,delivery_empty
36922688,一切从头来过,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36922688/,delivery_empty
36942325,外面,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36942325/,delivery_empty
36948291,女孩们,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36948291/,delivery_empty
36955318,留存的爱,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36955318/,delivery_empty
36960810,钢琴事故,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36960810/,delivery_empty
36961646,私生活,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36961646/,delivery_empty
36962864,正在缩小的男人,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36962864/,delivery_empty
36968728,火之试炼,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36968728/,delivery_empty
36968879,夏日躁动,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36968879/,delivery_empty
36974077,沼泽之地,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36974077/,delivery_empty
36978178,大卫·爱登堡：海洋,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36978178/,delivery_empty
36999797,为你遗憾,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36999797/,delivery_empty
37025506,瑞奇·热维斯：人生苦短,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/37025506/,delivery_empty
